,data_year,Aggravated Assault,All Other Offenses (Except Traffic),Arson,Burglary,Curfew and Loitering Law Violations,Disorderly Conduct,Driving Under the Influence,Drug Abuse Violations - Grand Total,Drunkenness,Embezzlement,Forgery and Counterfeiting,Fraud,Gambling - Total,Human Trafficking - Commercial Sex Acts,Human Trafficking - Involuntary Servitude,Larceny - Theft,Liquor Laws,Manslaughter by Negligence,Motor Vehicle Theft,Murder and Nonnegligent Manslaughter,Offenses Against the Family and Children,Prostitution and Commercialized Vice,Rape,Robbery,Simple Assault,"Stolen Property: Buying, Receiving, Possessing",Suspicion,Vagrancy,Vandalism,"Weapons: Carrying, Possessing, Etc.","Sex Offenses (Except Rape, and Prostitution and Commercialized Vice)",ori_number
0,2017,380,1428,6,50,0,12,331,1816,124,1,18,5,0,0,0,134,43,0,18,3,0,71,10,83,340,128,0,3,38,125,24,CA0010000
1,2018,442,1394,7,71,0,7,293,1700,132,0,12,4,0,0,0,159,46,0,15,3,1,16,9,76,345,106,0,5,59,125,32,CA0010000
2,2019,353,1163,2,40,0,14,268,1641,154,4,4,17,1,0,0,149,44,1,19,4,0,16,7,71,384,70,0,0,55,146,20,CA0010000
3,2020,387,826,9,73,0,19,139,1299,81,7,6,8,0,0,0,101,0,0,27,4,0,10,10,49,387,142,0,5,52,137,27,CA0010000
4,2022,345,800,5,27,0,78,144,745,32,4,7,13,0,0,0,56,14,0,61,3,1,0,7,45,323,119,0,4,53,236,13,CA0010000
0,2017,97,273,4,29,0,2,114,110,201,2,5,8,0,0,0,71,1,0,31,0,0,27,8,49,118,8,0,2,6,18,13,CA0010100
1,2018,109,250,0,45,0,5,87,200,130,0,4,4,0,0,0,76,2,0,16,2,0,20,3,23,131,1,0,1,14,28,12,CA0010100
2,2019,90,293,3,32,0,4,121,317,2,5,4,6,0,0,0,81,1,0,20,0,0,0,1,18,197,6,0,0,17,31,12,CA0010100
3,2020,87,182,5,22,0,3,69,144,0,1,3,4,0,0,0,71,1,0,19,1,0,0,1,14,160,5,0,0,22,12,17,CA0010100
4,2021,2,28,0,1,0,16,32,7,0,1,0,0,0,1,0,14,0,0,2,0,0,0,2,5,19,3,0,0,1,3,3,CA0010100
5,2022,47,151,8,14,0,71,115,80,0,1,3,8,0,0,0,113,0,0,25,1,1,1,2,26,181,33,0,0,38,30,7,CA0010100
0,2017,10,45,1,22,0,1,59,77,31,3,4,5,0,0,0,93,1,0,11,0,0,0,0,10,17,5,0,0,11,12,0,CA0010200
1,2018,16,46,0,23,0,0,50,80,25,3,11,10,0,0,0,93,1,0,9,3,0,0,0,10,29,4,0,5,12,7,3,CA0010200
2,2019,18,43,1,10,0,2,35,63,7,1,1,5,0,0,0,67,0,0,4,0,0,0,3,4,26,8,0,0,13,12,3,CA0010200
3,2020,6,26,1,1,0,0,14,18,6,0,3,0,0,0,0,14,0,0,5,0,0,0,0,2,9,3,0,0,13,2,2,CA0010200
4,2021,4,11,1,1,0,4,28,5,0,0,1,1,0,0,0,8,0,0,1,0,0,0,0,2,7,2,0,0,2,5,0,CA0010200
5,2022,10,37,4,5,0,6,39,7,0,0,0,2,0,0,0,23,0,0,3,0,0,0,0,2,18,10,0,2,5,6,1,CA0010200
0,2017,212,418,5,110,0,8,248,600,290,3,14,6,0,0,0,228,0,0,27,7,2,0,10,100,320,38,0,11,57,79,51,CA0010300
1,2018,174,381,11,126,0,4,89,512,1,4,8,6,0,0,0,215,0,0,59,2,0,2,9,110,179,16,0,1,40,57,29,CA0010300
2,2019,194,492,2,194,0,9,119,602,2,3,7,5,0,0,0,277,0,0,44,2,1,0,6,99,211,26,0,7,47,54,28,CA0010300
3,2020,152,273,11,128,0,1,77,392,20,1,0,1,0,0,0,287,0,0,49,4,0,0,3,76,220,26,0,8,40,47,27,CA0010300
4,2022,178,329,8,141,0,4,98,288,51,0,2,5,0,0,0,247,0,0,47,7,1,0,5,84,208,30,0,12,63,47,37,CA0010300
